"V1"	"V2"	"V3"
1.66666666666667	1	0
-1.33333333333333	1	0
-0.666666666666667	1	0
0.333333333333333	1	0
3	1	0
-1	1	0
-1	1	0
0	1	0
-3	1	0
0	1	0
1	1	0
-2	1	0
2.33333333333333	1	0
0.666666666666667	1	0
-0.333333333333333	1	0
-3	1	0
1.33333333333333	1	0
0	1	0
1.66666666666667	1	0
-0.666666666666667	1	0
-2.33333333333333	1	0
-1.66666666666667	1	0
1.66666666666667	1	0
-1.33333333333333	0	1
1	0	1
-0.666666666666667	0	1
0.333333333333333	0	1
2	0	1
0.333333333333333	0	1
0.333333333333333	0	1
2	0	1
1.66666666666667	0	1
2	0	1
2	0	1
0.666666666666667	0	1
0	0	1
-0.666666666666667	0	1
1.33333333333333	0	1
-0.666666666666667	0	1
-1	0	1
0.666666666666667	0	1
-0.666666666666667	0	1
-1.33333333333333	0	1
1.66666666666667	0	1
-2	0	1
1.33333333333333	0	1
