"ambivalence"	"neutral"	"onesided"
-0.973316192627	1	0
1.434537768364	1	0
-0.303602337837	1	0
2.812432289124	1	0
1.68115067482	1	0
4.221220493317	1	0
-0.13375723362	1	0
4.817669391632	1	0
1.252730727196	1	0
-0.622748732567	1	0
-0.578239321709	1	0
1.560659885406	1	0
2.3363904953	1	0
0.618727564812	1	0
0.239323437214	1	0
1.316821098328	1	0
-2.240427494049	0	1
0.389745354652	0	1
-1.508878231049	0	1
1.894861578941	0	1
0.659128129482	0	1
3.433724164963	0	1
-1.323351383209	0	1
4.085243701935	0	1
0.191151991487	0	1
-1.857491612434	0	1
-1.808872699738	0	1
0.527512431145	0	1
1.374866604805	0	1
-0.501389026642	0	1
-0.915823936462	0	1
