"ambivalence"	"onesided"	"twosided"
-2.240427494049	1	0
0.389745354652	1	0
-1.508878231049	1	0
1.894861578941	1	0
0.659128129482	1	0
3.433724164963	1	0
-1.323351383209	1	0
4.085243701935	1	0
0.191151991487	1	0
-1.857491612434	1	0
-1.808872699738	1	0
0.527512431145	1	0
1.374866604805	1	0
-0.501389026642	1	0
-0.915823936462	1	0
-0.59340274334	0	1
2.050987243652	0	1
0.142101049423	0	1
3.564239025116	0	1
2.321826219559	0	1
5.111419677734	0	1
0.328630685806	0	1
5.766461372375	0	1
1.851320385933	0	1
-0.20839703083	0	1
-0.159514904022	0	1
2.189498901367	0	1
3.041433334351	0	1
1.155035853386	0	1
0.738361001015	0	1
